iter	RMSE
0	13.52398271
1	12.84954208
2	12.11438043
3	11.53111301
4	10.99555993
5	10.50257272
6	10.04075073
7	9.62707431
8	9.305154105
9	8.912769287
10	8.51544896
11	8.237833909
12	7.937608309
13	7.710105484
14	7.489848085
15	7.244715476
16	7.034508753
17	6.858182006
18	6.650209615
19	6.483069626
20	6.348827933
21	6.219519524
22	6.072262196
23	5.964738631
24	5.82659781
25	5.741033739
26	5.625982194
27	5.52700134
28	5.447459363
29	5.343747151
30	5.264178793
31	5.183701363
32	5.124573232
33	5.050830115
34	4.980803427
35	4.926185011
36	4.863346984
37	4.808010147
38	4.757937447
39	4.705331066
40	4.664059279
41	4.623627923
42	4.588609456
43	4.569177344
44	4.530591158
45	4.495618987
46	4.465721236
47	4.42190141
48	4.388302661
49	4.347667916
50	4.316154718
51	4.295306072
52	4.266215692
53	4.217766044
54	4.188053708
55	4.149659367
56	4.11390342
57	4.102783207
58	4.059706333
59	4.042895802
60	4.027563114
61	4.020334414
62	3.996978074
63	3.969418486
64	3.949466283
65	3.932154981
66	3.917066102
67	3.900238935
68	3.88193965
69	3.863744183
70	3.858435313
71	3.851408283
72	3.828685162
73	3.806844369
74	3.791967052
75	3.77786543
76	3.744003152
77	3.727882406
78	3.712876557
79	3.70737598
80	3.699977633
81	3.678640748
82	3.656999426
83	3.649546437
84	3.629244259
85	3.618982034
86	3.60714
87	3.599071316
88	3.563588441
89	3.531402144
90	3.518128311
91	3.513429729
92	3.501813613
93	3.465582982
94	3.444550424
95	3.442389803
96	3.431802029
97	3.398849911
98	3.396247663
99	3.388612612
