iter	Passed	Remaining
0	1	146
1	2	130
2	3	125
3	4	117
4	5	112
5	6	107
6	7	104
7	8	102
8	9	99
9	10	98
10	12	99
11	13	97
12	14	95
13	15	92
14	16	91
15	17	89
16	17	87
17	18	85
18	19	84
19	20	82
20	21	80
21	22	79
22	23	78
23	24	76
24	25	75
25	26	75
26	27	74
27	28	72
28	29	71
29	30	70
30	31	69
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	58
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	91	0
