iter	Passed	Remaining
0	125	125005
1	129	64843
2	134	44731
3	139	34748
4	144	28848
5	151	25050
6	156	22158
7	163	20285
8	169	18647
9	175	17339
10	180	16211
11	185	15258
12	191	14506
13	195	13793
14	200	13176
15	204	12607
16	209	12129
17	213	11667
18	218	11297
19	222	10916
20	227	10584
21	231	10286
22	236	10030
23	240	9765
24	244	9527
25	249	9332
26	253	9129
27	257	8946
28	262	8788
29	267	8646
30	271	8495
31	277	8379
32	282	8268
33	286	8145
34	290	8018
35	295	7918
36	299	7805
37	303	7694
38	309	7617
39	313	7516
40	317	7417
41	321	7337
42	328	7304
43	333	7238
44	337	7164
45	344	7145
46	349	7085
47	354	7031
48	360	6999
49	365	6945
50	372	6923
51	376	6869
52	381	6814
53	386	6771
54	391	6718
55	395	6659
56	399	6603
57	404	6566
58	408	6511
59	412	6458
60	417	6423
61	422	6389
62	427	6361
63	434	6354
64	440	6330
65	446	6317
66	453	6309
67	458	6280
68	463	6258
69	468	6227
70	473	6193
71	479	6174
72	483	6142
73	488	6116
74	533	6579
75	538	6542
76	542	6497
77	545	6445
78	548	6392
79	551	6337
80	553	6283
81	556	6235
82	572	6325
83	576	6285
84	579	6236
85	581	6184
86	584	6135
87	588	6101
88	591	6053
89	594	6007
90	596	5962
91	599	5918
92	603	5883
93	607	5855
94	609	5808
95	611	5761
96	613	5711
97	615	5663
98	617	5622
99	620	5581
100	621	5536
101	626	5512
102	628	5475
103	632	5446
104	635	5416
105	638	5384
106	640	5348
107	643	5310
108	644	5269
109	646	5233
110	649	5199
111	650	5160
112	652	5122
113	654	5084
114	655	5047
115	657	5009
116	658	4969
117	660	4933
118	662	4901
119	664	4871
120	665	4837
121	667	4801
122	668	4767
123	669	4732
124	671	4698
125	672	4665
126	673	4631
127	675	4599
128	677	4571
129	679	4545
130	680	4515
131	682	4486
132	683	4456
133	685	4427
134	686	4398
135	687	4370
136	689	4342
137	690	4314
138	692	4289
139	694	4265
140	695	4240
141	696	4210
142	698	4184
143	699	4159
144	701	4134
145	702	4109
146	704	4085
147	705	4063
148	707	4041
149	709	4021
150	710	3997
151	712	3974
152	713	3951
153	715	3929
154	716	3906
155	718	3884
156	719	3862
157	720	3840
158	722	3819
159	724	3801
160	725	3778
161	726	3758
162	727	3737
163	729	3717
164	730	3697
165	732	3677
166	733	3659
167	735	3642
168	737	3624
169	740	3614
170	742	3597
171	743	3581
172	745	3564
173	747	3547
174	748	3530
175	750	3512
176	751	3495
177	753	3479
178	755	3464
179	756	3446
180	758	3429
181	759	3412
182	760	3396
183	762	3380
184	763	3363
185	764	3347
186	766	3331
187	767	3315
188	769	3302
189	771	3287
190	772	3271
191	773	3256
192	775	3241
193	776	3226
194	777	3211
195	779	3196
196	780	3182
197	782	3167
198	783	3153
199	785	3142
200	787	3128
201	788	3114
202	789	3100
203	791	3087
204	792	3073
205	793	3059
206	795	3046
207	796	3033
208	797	3020
209	799	3008
210	801	2996
211	802	2984
212	804	2971
213	805	2958
214	806	2946
215	808	2934
216	809	2921
217	811	2909
218	812	2897
219	813	2885
220	815	2875
221	817	2863
222	818	2851
223	819	2840
224	821	2828
225	822	2817
226	823	2805
227	825	2794
228	826	2783
229	828	2772
230	829	2762
231	831	2753
232	833	2743
233	835	2733
234	836	2723
235	838	2713
236	839	2702
237	840	2692
238	842	2681
239	843	2670
240	844	2660
241	846	2652
242	848	2642
243	849	2632
244	851	2622
245	852	2613
246	854	2604
247	855	2595
248	857	2586
249	859	2577
250	860	2568
251	862	2559
252	864	2551
253	865	2542
254	867	2533
255	868	2524
256	870	2516
257	871	2507
258	873	2498
259	875	2490
260	876	2482
261	878	2475
262	880	2467
263	881	2458
264	883	2450
265	884	2441
266	886	2433
267	887	2424
268	889	2416
269	890	2408
270	892	2402
271	894	2394
272	895	2385
273	897	2377
274	898	2369
275	900	2361
276	901	2354
277	903	2346
278	904	2338
279	906	2330
280	908	2324
281	909	2316
282	911	2308
283	912	2301
284	914	2293
285	915	2286
286	917	2278
287	918	2271
288	920	2264
289	922	2258
290	924	2252
291	925	2245
292	927	2238
293	929	2230
294	930	2223
295	932	2217
296	933	2209
297	935	2202
298	936	2196
299	938	2190
300	940	2183
301	942	2177
302	943	2170
303	945	2164
304	946	2157
305	948	2150
